2	0.096901
4	0.063592
6	0.049369
8	0.04124
10	0.035894
12	0.032074
14	0.029189
16	0.02692
18	0.025084
20	0.023562
22	0.022277
24	0.021175
26	0.020219
28	0.01938
30	0.018636
32	0.017972
34	0.017375
36	0.016835
38	0.016344
40	0.015895
42	0.015482
44	0.015102
46	0.014749
48	0.014423
50	0.014118
52	0.013834
54	0.013567
56	0.013317
58	0.013082
60	0.01286
62	0.01265
64	0.012452
66	0.012264
68	0.012086
70	0.011916
72	0.011754
74	0.0116
76	0.011453
78	0.011312
80	0.011177
82	0.011048
84	0.010924
86	0.010806
88	0.010691
90	0.010582
92	0.010476
94	0.010374
96	0.010276
98	0.010181
100	0.010089
