2	19.902
4	24.618
6	17.513
8	9.2581
10	4.2463
12	1.2937
14	-0.50778
16	-1.5519
18	-2.1268
20	-2.4981
22	-2.5562
24	-2.4397
26	-2.1891
28	-1.833
30	-1.3927
32	-0.88399
34	-0.3194
36	0.29114
38	0.93942
40	1.6185
42	2.3505
44	3.066
46	3.7905
48	4.5543
50	5.287
52	6.0763
54	6.8178
56	7.5577
58	8.3057
60	9.0356
62	9.7602
64	10.471
66	11.167
68	11.845
70	12.506
72	13.149
74	13.772
76	14.376
78	14.96
80	15.525
82	16.07
84	16.597
86	17.104
88	17.578
90	18.05
92	18.506
94	18.953
96	19.377
98	19.786
100	20.181
