2	0.10007
4	0.065715
6	0.051033
8	0.042638
10	0.037117
12	0.03317
14	0.030189
16	0.027845
18	0.025947
20	0.024374
22	0.023046
24	0.021907
26	0.020919
28	0.020051
30	0.019282
32	0.018596
34	0.017979
36	0.01742
38	0.016912
40	0.016448
42	0.016021
44	0.015628
46	0.015264
48	0.014926
50	0.014611
52	0.014317
54	0.014041
56	0.013783
58	0.013539
60	0.01331
62	0.013093
64	0.012888
66	0.012694
68	0.012509
70	0.012333
72	0.012166
74	0.012007
76	0.011854
78	0.011709
80	0.01157
82	0.011436
84	0.011308
86	0.011185
88	0.011067
90	0.010953
92	0.010844
94	0.010739
96	0.010637
98	0.010539
100	0.010444
