2	23.919
4	22.34
6	19.076
8	15.558
10	12.363
12	9.6405
14	7.4053
16	5.597
18	4.1476
20	2.9893
22	2.0696
24	1.3445
26	0.78258
28	0.3564
30	0.044185
32	-0.17165
34	-0.30535
36	-0.36856
38	-0.37086
40	-0.32023
42	-0.22329
44	-0.085672
46	0.087897
48	0.29336
50	0.52726
52	0.78658
54	1.0687
56	1.3714
58	1.6927
60	2.0308
62	2.3842
64	2.7514
66	3.1313
68	3.5228
70	3.9248
72	4.3365
74	4.757
76	5.1856
78	5.6217
80	6.0645
82	6.5136
84	6.9683
86	7.4282
88	7.8929
90	8.3619
92	8.8348
94	9.3112
96	9.7908
98	10.273
100	10.758
