2	-10.099
4	-14.912
6	-17.554
8	-18.252
10	-17.925
12	-17.096
14	-15.943
16	-14.588
18	-13.104
20	-11.536
22	-9.9182
24	-8.2735
26	-6.6211
28	-4.9767
30	-3.3537
32	-1.7638
34	-0.21667
36	1.2794
38	2.717
40	4.0933
42	5.4037
44	6.6462
46	7.82
48	8.9258
50	9.9651
52	10.94
54	11.854
56	12.71
58	13.511
60	14.262
62	14.965
64	15.625
66	16.244
68	16.831
70	17.38
72	17.897
74	18.387
76	18.85
78	19.291
80	19.71
82	20.111
84	20.494
86	20.863
88	21.218
90	21.56
92	21.893
94	22.216
96	22.531
98	22.84
100	23.142
