0	40	40	0
5.0596e-10	40	40	0.0025298
1.5179e-09	40	40	0.0075895
3.5418e-09	40	40	0.017709
7.5895e-09	40	40	0.037947
1.5685e-08	40	40	0.078424
3.1876e-08	40	40	0.15938
6.4257e-08	40	40	0.32129
1.2902e-07	40	40	0.6451
2.5855e-07	40	40	1.2927
5.176e-07	40	40	2.588
1.0357e-06	40	40	5.1785
2.0719e-06	40	40	10.36
4.1444e-06	40	40	20.722
8.2892e-06	40	40	41.446
1.2434e-05	40	40	62.17
1.5436e-05	40	40	77.18
1.7306e-05	40	40	86.528
1.9175e-05	40	40	95.876
2.2915e-05	40	40	114.57
2.4959e-05	40	40	124.79
2.7003e-05	40	40	135.02
3.1092e-05	40	40	155.46
3.2114e-05	40	40	160.57
3.2484e-05	39.978	39.978	162.42
3.2855e-05	39.936	39.936	164.27
3.3163e-05	39.909	39.909	165.8
3.3493e-05	39.841	39.841	167.44
3.3852e-05	39.841	39.841	169.23
3.4239e-05	39.823	39.823	171.14
3.4554e-05	39.808	39.808	172.7
3.4916e-05	39.745	39.745	174.49
3.5233e-05	39.691	39.691	176.06
3.5437e-05	39.664	39.664	177.06
3.564e-05	39.643	39.643	178.06
3.5875e-05	39.604	39.604	179.21
3.6053e-05	39.584	39.584	180.08
3.6232e-05	39.576	39.576	180.95
3.6391e-05	39.57	39.57	181.74
3.6551e-05	39.548	39.548	182.52
3.6725e-05	39.542	39.542	183.36
3.6878e-05	39.527	39.527	184.11
3.7037e-05	39.515	39.515	184.89
3.7194e-05	39.504	39.504	185.66
3.7354e-05	39.483	39.483	186.44
3.7517e-05	39.436	39.436	187.23
3.766e-05	39.42	39.42	187.92
3.7832e-05	39.405	39.405	188.76
3.8037e-05	39.382	39.382	189.75
3.8234e-05	39.353	39.353	190.7
3.8438e-05	39.346	39.346	191.69
3.8657e-05	39.323	39.323	192.75
3.8927e-05	39.259	39.259	194.05
3.9249e-05	39.259	39.259	195.6
3.989e-05	39.195	39.195	198.68
4.0317e-05	39.183	39.183	200.73
4.0744e-05	39.176	39.176	202.78
4.1115e-05	39.135	39.135	204.55
4.138e-05	39.131	39.131	205.82
4.1646e-05	39.089	39.089	207.09
4.1872e-05	39.063	39.063	208.17
4.2209e-05	39.053	39.053	209.78
4.2541e-05	39.024	39.024	211.36
4.2808e-05	38.97	38.97	212.63
4.3046e-05	38.924	38.924	213.75
4.3304e-05	38.912	38.912	214.97
4.3553e-05	38.885	38.885	216.15
4.3785e-05	38.887	38.887	217.24
4.3981e-05	38.863	38.863	218.17
4.4191e-05	38.828	38.828	219.16
4.4451e-05	38.831	38.831	220.38
4.4697e-05	38.786	38.786	221.54
4.4957e-05	38.789	38.789	222.76
4.5223e-05	38.747	38.747	224.01
4.548e-05	38.731	38.731	225.21
4.5695e-05	38.698	38.698	226.22
4.5917e-05	38.665	38.665	227.25
4.6123e-05	38.656	38.656	228.21
4.6288e-05	38.64	38.64	228.99
4.6547e-05	38.613	38.613	230.19
4.6814e-05	38.57	38.57	231.43
4.7089e-05	38.55	38.55	232.71
4.7348e-05	38.537	38.537	233.91
4.7558e-05	38.516	38.516	234.88
4.7832e-05	38.487	38.487	236.15
4.8077e-05	38.467	38.467	237.28
4.8348e-05	38.438	38.438	238.53
4.8621e-05	38.395	38.395	239.79
4.8856e-05	38.387	38.387	240.87
4.9078e-05	38.33	38.33	241.89
4.9271e-05	38.328	38.328	242.77
4.9559e-05	38.275	38.275	244.09
4.9809e-05	38.209	38.209	245.23
5.0093e-05	38.184	38.184	246.52
5.0449e-05	38.125	38.125	248.14
5.0752e-05	38.098	38.098	249.51
5.1096e-05	38.097	38.097	251.07
5.1556e-05	38.027	38.027	253.14
5.1986e-05	38.012	38.012	255.08
5.2368e-05	37.973	37.973	256.8
5.262e-05	37.957	37.957	257.93
5.2873e-05	37.948	37.948	259.07
5.3076e-05	37.943	37.943	259.98
5.3295e-05	37.911	37.911	260.96
5.3479e-05	37.903	37.903	261.79
5.3644e-05	37.877	37.877	262.52
5.3903e-05	37.869	37.869	263.68
5.416e-05	37.806	37.806	264.83
5.4406e-05	37.788	37.788	265.92
5.467e-05	37.766	37.766	267.09
5.4879e-05	37.751	37.751	268.02
5.5088e-05	37.732	37.732	268.95
5.5319e-05	37.714	37.714	269.97
5.5497e-05	37.696	37.696	270.76
5.5675e-05	37.673	37.673	271.55
5.5865e-05	37.666	37.666	272.39
5.6066e-05	37.643	37.643	273.28
5.624e-05	37.607	37.607	274.04
5.6475e-05	37.575	37.575	275.07
5.6711e-05	37.524	37.524	276.11
5.6968e-05	37.471	37.471	277.23
5.7281e-05	37.461	37.461	278.6
5.7614e-05	37.412	37.412	280.05
5.7906e-05	37.418	37.418	281.32
5.8208e-05	37.352	37.352	282.64
5.8491e-05	37.305	37.305	283.86
5.8727e-05	37.265	37.265	284.88
5.8947e-05	37.248	37.248	285.83
5.9149e-05	37.228	37.228	286.7
5.9369e-05	37.197	37.197	287.65
5.9561e-05	37.168	37.168	288.47
5.9739e-05	37.143	37.143	289.24
5.9909e-05	37.114	37.114	289.96
6.0073e-05	37.088	37.088	290.67
6.0234e-05	37.066	37.066	291.35
6.0423e-05	37.017	37.017	292.16
6.065e-05	37.016	37.016	293.12
6.085e-05	37.002	37.002	293.98
6.1104e-05	36.956	36.956	295.05
6.1298e-05	36.926	36.926	295.88
6.1492e-05	36.898	36.898	296.7
6.1665e-05	36.861	36.861	297.43
6.1851e-05	36.831	36.831	298.21
6.202e-05	36.795	36.795	298.92
6.2175e-05	36.776	36.776	299.57
